Level,Type,Spelldamage,Spellrange,Delay,Upgradeprice,SkillDamage
1,0,120.000,5.000,1.000,30.000,15.000
2,0,138.000,5.200,0.952,34.200,17.250
3,0,158.700,5.408,0.907,38.988,19.838
4,0,182.505,5.624,0.864,44.446,22.813
5,0,209.881,5.849,0.823,50.669,26.235
6,1,241.363,6.083,0.784,57.762,30.170
7,1,277.567,6.327,0.746,65.849,34.696
8,1,319.202,6.580,0.711,75.068,39.900
9,1,367.083,6.843,0.677,85.578,45.885
10,1,422.145,7.117,0.645,97.558,52.768
11,2,485.467,7.401,0.614,111.217,60.683
12,2,558.287,7.697,0.585,126.787,69.786
13,2,642.030,8.005,0.557,144.537,80.254
14,2,738.335,8.325,0.530,164.772,92.292
15,2,849.085,8.658,0.505,187.840,106.136
16,3,976.447,9.005,0.481,214.138,122.056
17,3,1122.915,9.365,0.458,244.117,140.364
18,3,1291.352,9.740,0.436,278.294,161.419
19,3,1485.054,10.129,0.416,317.255,185.632
20,3,1707.813,10.534,0.396,361.671,213.477
21,4,1963.984,10.956,0.377,412.305,245.498
22,4,2258.582,11.394,0.359,470.027,282.323
23,4,2597.369,11.850,0.342,535.831,324.671
24,4,2986.975,12.324,0.326,610.848,373.372
25,4,3435.021,12.817,0.310,696.366,429.378
