Level,Type,Spelldamage,Spellrange,Delay,Upgradeprice,SkillDamage,ResetBonus
1,0,60.000,15.000,2.100,30.000,200.000,0.000
2,0,66.000,15.150,2.060,33.300,216.000,0.000
3,0,72.600,15.600,2.020,37.300,233.280,0.000
4,0,79.860,16.070,1.980,42.140,251.940,0.000
5,0,87.850,16.550,1.940,49.310,272.100,0.000
6,1,96.630,17.050,1.900,58.180,293.870,0.000
7,1,106.290,17.560,1.860,69.240,317.370,0.000
8,1,116.920,18.090,1.820,83.090,342.760,0.000
9,1,128.620,18.270,1.790,100.540,370.190,0.000
10,1,141.480,18.450,1.750,124.660,399.800,0.001
11,2,155.620,18.640,1.720,155.830,431.780,0.001
12,2,171.190,18.820,1.680,196.350,466.330,0.001
13,2,188.310,19.010,1.650,249.360,503.630,0.001
14,2,207.140,19.200,1.610,319.180,543.920,0.001
15,2,227.850,19.390,1.580,421.320,587.440,0.001
16,3,250.630,19.590,1.550,560.360,634.430,0.001
17,3,275.700,19.780,1.520,750.880,685.190,0.001
18,3,303.270,19.980,1.490,1013.680,740.000,0.001
19,3,333.600,20.000,1.460,1378.610,799.200,0.001
20,3,370.290,20.000,1.430,1930.050,863.140,0.001
21,4,411.020,20.000,1.400,2721.370,932.190,0.001
22,4,456.230,20.000,1.370,3864.350,1006.770,0.001
23,4,506.420,20.000,1.350,5526.020,1087.310,0.001
24,4,562.130,20.000,1.320,7957.470,1174.290,0.001
25,4,623.960,20.000,1.290,11538.340,1268.240,0.001
