Level,Type,Spelldamage,Spellrange,Delay,Upgradeprice,SkillDamage
1,0,40.000,15.000,1.400,30.000,0.000
2,0,43.280,15.450,1.330,33.300,0.000
3,0,46.830,15.910,1.260,37.300,0.000
4,0,50.670,16.390,1.200,42.140,0.000
5,0,54.620,16.880,1.140,48.040,0.000
6,1,58.880,17.390,1.110,55.250,0.000
7,1,63.470,17.910,1.070,64.090,0.000
8,1,68.430,18.450,1.040,74.990,0.000
9,1,73.760,19.000,1.010,88.480,0.000
10,1,79.520,19.570,0.980,105.300,0.000
11,2,85.720,19.960,0.950,126.360,0.000
12,2,92.400,20.360,0.920,152.890,0.000
13,2,99.610,20.770,0.890,186.530,0.000
14,2,107.380,21.180,0.880,229.430,0.000
15,2,115.760,21.610,0.860,284.490,0.000
16,3,124.790,22.040,0.840,355.610,0.000
17,3,134.520,22.480,0.820,448.070,0.000
18,3,145.010,22.930,0.810,569.050,0.000
19,3,156.320,23.390,0.790,728.390,0.000
20,3,168.520,24.090,0.780,939.620,0.000
21,4,181.660,24.570,0.760,1221.510,0.000
22,4,195.830,25.060,0.750,1600.180,0.000
23,4,211.100,25.570,0.730,2112.230,0.000
24,4,227.570,26.080,0.720,2809.270,0.000
25,4,245.320,26.600,0.700,3764.420,0.000
